City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
283,coahuayana de hidalgo,18.7,-103.6583,26.54,90,99,0.44,MX,1693630965
284,castillos,-34.1667,-53.8333,15.38,97,100,3.5,UY,1693630965
285,nar'yan-mar,67.6713,53.087,15.14,78,100,3.59,RU,1693630965
286,flying fish cove,-10.4217,105.6791,26.82,61,40,7.2,CX,1693630966
287,lisakovsk,52.5369,62.4936,11.6,86,100,7.47,KZ,1693630966
288,jorpeland,59.0225,6.0408,13.18,89,78,2.51,NO,1693630967
289,constantia,44.1833,28.65,21.5,62,0,6.54,RO,1693630967
290,buka,40.8108,69.1986,27.85,15,0,2.65,UZ,1693630968
291,kolokani,13.5728,-8.0339,24.61,76,30,3.17,ML,1693630968
292,sao joao da barra,-21.6403,-41.0511,21.75,79,51,6.79,BR,1693630969
293,katsuura,35.1333,140.3,28.99,70,55,3.39,JP,1693630969
294,selfoss,63.9331,-20.9971,11.69,92,100,10.02,IS,1693630970
295,peskovka,59.0448,52.3606,14.12,71,32,2.16,RU,1693630970
296,sitka,57.0531,-135.33,12.82,92,98,2.25,US,1693630970
297,kone,-21.0595,164.8658,23.78,65,86,2.89,NC,1693630971
298,porto cristo,39.5395,3.333,23.51,69,36,6.12,ES,1693630971
299,vac,47.7759,19.1361,16.61,80,63,0.08,HU,1693630971
300,kalaleh,37.3807,55.4916,26.78,44,0,0.0,IR,1693630972
301,medicine hat,50.0501,-110.6683,16.24,63,0,2.57,CA,1693630680
302,ostashkov,57.1467,33.1075,14.3,91,93,1.54,RU,1693630973
303,saldanha,-33.0117,17.9442,4.03,65,74,2.84,ZA,1693630973
304,cowra,-33.8333,148.6833,17.43,38,0,1.99,AU,1693630973
305,rolla,37.9514,-91.7713,19.04,81,0,4.12,US,1693630974
306,berdigestyakh,62.0989,126.6992,10.36,35,98,3.82,RU,1693630974
307,ashland,40.8167,-82.2665,17.3,95,0,2.16,US,1693630919
308,whitehorse,60.7161,-135.0538,15.43,38,75,5.14,CA,1693630975
309,kolaras,25.2333,77.6,29.23,62,22,5.31,IN,1693630975
310,mulanje,-16.0316,35.5,22.86,52,0,0.97,MW,1693630975
311,tuy hoa,13.0833,109.3,34.46,50,93,4.03,VN,1693630976
312,encarnacion de diaz,21.5167,-102.2333,19.55,61,89,2.78,MX,1693630775
313,nosy varika,-20.5833,48.5333,21.05,75,1,1.38,MG,1693630977
314,laguna,38.421,-121.4238,19.62,75,0,5.14,US,1693630855
315,kievka,50.2619,71.5514,16.72,50,43,4.38,KZ,1693630977
316,south hedland,-20.4089,118.5983,32.96,21,4,4.63,AU,1693630978
317,araripe,-7.2125,-40.0461,17.91,51,0,2.17,BR,1693630978
318,can tho,10.0333,105.7833,23.99,100,75,4.63,VN,1693630979
319,dampit,-8.2116,112.7493,30.01,39,11,3.26,ID,1693630979
320,zyryanovsk,49.7386,84.2719,19.9,39,81,0.51,KZ,1693630980
321,al bawiti,28.3492,28.8659,23.81,74,0,4.66,EG,1693630980
322,east ballina,-28.8667,153.5833,22.67,54,8,5.01,AU,1693630784
323,star dojran,41.1875,22.7208,21.54,47,14,2.34,MK,1693630981
324,mao,39.8885,4.2658,23.31,78,0,5.14,ES,1693630981
325,chopinzinho,-25.8558,-52.5233,18.31,57,100,4.41,BR,1693630981
326,petropavlovsk-kamchatsky,53.0452,158.6483,20.33,64,75,6.0,RU,1693630982
327,tambopata,-12.7333,-69.1833,23.34,86,40,1.04,PE,1693630982
328,eyl,7.9803,49.8164,27.4,63,73,10.99,SO,1693630983
329,mount isa,-20.7333,139.5,27.87,14,0,4.12,AU,1693630811
330,kingston,17.997,-76.7936,29.53,87,20,4.63,JM,1693630823
331,kapa'a,22.0752,-159.319,27.99,80,100,7.72,US,1693630984
332,micheweni,-4.9667,39.8333,25.02,74,53,4.22,TZ,1693630984
333,kourou,5.1552,-52.6478,24.03,81,3,3.6,GF,1693630985
334,fuling,29.7022,107.3919,30.69,58,43,1.98,CN,1693630985
335,happy valley-goose bay,53.3168,-60.3315,12.17,71,75,7.2,CA,1693630808
336,shunyi,40.125,116.6453,26.97,69,20,2.0,CN,1693630987
337,labrador city,52.9463,-66.9114,10.95,82,100,1.54,CA,1693630807
338,ulladulla,-35.35,150.4667,19.87,55,35,4.0,AU,1693630987
339,kavaratti,10.5669,72.642,27.98,76,100,5.21,IN,1693630988
340,northam,51.0333,-4.2167,14.61,85,85,0.85,GB,1693630988
341,alta,69.9689,23.2717,11.59,89,75,2.06,NO,1693630988
342,languyan,5.2618,120.0807,29.96,68,83,4.8,PH,1693630989
343,grantsville,40.5999,-112.4644,22.2,50,40,10.29,US,1693630989
344,walvis bay,-22.9575,14.5053,8.94,93,0,3.6,NA,1693630989
345,holualoa,19.6228,-155.9522,25.91,78,20,3.09,US,1693630990
346,dryden,49.7833,-92.7503,18.16,77,0,2.57,CA,1693630935
347,liwale,-9.7667,37.9333,21.37,77,44,1.21,TZ,1693630991
348,siwa oasis,29.2041,25.5195,26.49,53,0,2.02,EG,1693630991
349,springs,-26.25,28.4,15.93,53,0,4.12,ZA,1693630991
350,juneau,58.3019,-134.4197,14.01,100,100,3.09,US,1693630992
351,lorengau,-2.0226,147.2712,28.56,74,78,7.04,PG,1693630993
352,zhangjiakou shi xuanhua qu,40.6103,115.0447,27.03,53,41,4.31,CN,1693630993
353,galliano,29.4422,-90.2992,28.0,89,0,1.54,US,1693630751
354,nouadhibou,20.931,-17.0347,25.99,53,72,3.6,MR,1693630994
355,ciudad insurgentes,25.2625,-111.7753,28.54,70,21,3.55,MX,1693630994
356,ghadamis,30.1337,9.5007,29.59,33,1,4.33,LY,1693630913
357,las tablas,7.7667,-80.2833,26.76,99,96,1.54,PA,1693630995
358,galich,58.3797,42.3475,17.43,70,33,2.75,RU,1693630995
359,luuq,3.7938,42.5445,25.86,59,20,8.4,SO,1693630996
360,pandan,14.0453,124.1694,31.77,62,100,6.67,PH,1693630996
361,alesund,62.4723,6.1549,12.64,87,75,2.57,NO,1693630997
362,pedro ii,-4.4247,-41.4586,18.97,63,0,1.93,BR,1693630997
